OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
734,GO-2015618195,2015-04-14 04:00:00,2015,April,14,Tuesday,104,D13,Other,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.43976381968581,43.67860511348251
735,GO-2015669864,2015-04-23 04:00:00,2015,April,23,Thursday,113,D41,Stabbing,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.26370417829425,43.692078536769614
736,GO-2015767516,2015-05-08 04:00:00,2015,May,8,Friday,128,D43,Stabbing,136,West Hill (136),136,West Hill (136),-79.18254080559959,43.76301640517075
737,GO-2015819674,2015-05-17 04:00:00,2015,May,17,Sunday,137,D11,Other,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.45240112030432,43.66547832923307
738,GO-2015831181,2015-05-19 04:00:00,2015,May,19,Tuesday,139,D54,Shooting,066,Danforth (66),066,Danforth (66),-79.32475493150189,43.68311161113138
739,GO-2015843494,2015-05-20 04:00:00,2015,May,20,Wednesday,140,D11,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.44773621789984,43.659775115140576
740,GO-2015870230,2015-05-25 04:00:00,2015,May,25,Monday,145,D43,Stabbing,142,Woburn North (142),137,Woburn (137),-79.23525552303381,43.75771699120947
741,GO-2015922149,2015-05-30 04:00:00,2015,May,30,Saturday,150,D54,Stabbing,060,Woodbine-Lumsden (60),060,Woodbine-Lumsden (60),-79.31239304478265,43.68947551947114
742,GO-2015916307,2015-06-01 04:00:00,2015,June,1,Monday,152,D43,Shooting,142,Woburn North (142),137,Woburn (137),-79.23525552303381,43.75771699120947
743,GO-2015926649,2015-06-03 04:00:00,2015,June,3,Wednesday,154,D51,Stabbing,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3777897470096,43.65194899105262
744,GO-2015988808,2015-06-12 04:00:00,2015,June,12,Friday,163,D12,Other,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.49414740215576,43.67258463006478
745,GO-20151086599,2015-06-28 04:00:00,2015,June,28,Sunday,179,D14,Shooting,084,Little Portugal (84),084,Little Portugal (84),-79.42282962572214,43.641245685077315
746,GO-20151086599,2015-06-28 04:00:00,2015,June,28,Sunday,179,D14,Shooting,084,Little Portugal (84),084,Little Portugal (84),-79.42282962572214,43.641245685077315
747,GO-20151158745,2015-07-09 04:00:00,2015,July,9,Thursday,190,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.58636637067973,43.73250157775078
748,GO-20151178239,2015-07-10 04:00:00,2015,July,10,Friday,191,D13,Other,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.44850381994199,43.66859022392456
749,GO-20151182401,2015-07-12 04:00:00,2015,July,12,Sunday,193,D43,Stabbing,123,Cliffcrest (123),123,Cliffcrest (123),-79.22677405584926,43.72997179075692
750,GO-20151325557,2015-08-03 04:00:00,2015,August,3,Monday,215,D51,Stabbing,074,North St.James Town (74),074,North St.James Town (74),-79.3703929599192,43.670278910712895
751,GO-20151330701,2015-08-04 04:00:00,2015,August,4,Tuesday,216,D14,Shooting,163,Fort York-Liberty Village (163),082,Niagara (82),-79.42487972527528,43.63262627450439
752,GO-20151330701,2015-08-04 04:00:00,2015,August,4,Tuesday,216,D14,Shooting,163,Fort York-Liberty Village (163),082,Niagara (82),-79.42487972527528,43.63262627450439
753,GO-20151352151,2015-08-07 04:00:00,2015,August,7,Friday,219,D12,Stabbing,091,Weston-Pelham Park (91),091,Weston-Pelham Park (91),-79.46273701373764,43.67598192651222
754,GO-20151362027,2015-08-09 04:00:00,2015,August,9,Sunday,221,D52,Shooting,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.38316094421884,43.65431899342268
755,GO-20151423810,2015-08-19 04:00:00,2015,August,19,Wednesday,231,D51,Shooting,073,Moss Park (73),073,Moss Park (73),-79.36949845477272,43.658655897759644
756,GO-20151428790,2015-08-19 04:00:00,2015,August,19,Wednesday,231,D12,Shooting,028,Rustic (28),028,Rustic (28),-79.50407384365296,43.71413014643955
757,GO-20151536584,2015-09-06 04:00:00,2015,September,6,Sunday,249,D12,Stabbing,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.49974999299877,43.67823171070737
758,GO-20151577444,2015-09-12 04:00:00,2015,September,12,Saturday,255,D43,Stabbing,136,West Hill (136),136,West Hill (136),-79.19642520677687,43.766156292977314
759,GO-20151641806,2015-09-22 04:00:00,2015,September,22,Tuesday,265,D43,Stabbing,135,Morningside (135),135,Morningside (135),-79.21206408149764,43.7895507953673
760,GO-20151692243,2015-10-01 04:00:00,2015,October,1,Thursday,274,D43,Shooting,134,Highland Creek (134),134,Highland Creek (134),-79.15458034669237,43.79357677025504
761,GO-2018104863,2015-10-15 04:00:00,2015,October,15,Thursday,288,D43,Other,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.2222682051635,43.75104398794997
762,GO-20151791234,2015-10-17 04:00:00,2015,October,17,Saturday,290,D23,Shooting,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.59557072612607,43.68682323947545
763,GO-20151869657,2015-10-31 04:00:00,2015,October,31,Saturday,304,D51,Shooting,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3858379481384,43.667997507234325
764,GO-20151899333,2015-11-04 05:00:00,2015,November,4,Wednesday,308,D53,Shooting,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.35528380859033,43.716663957547865
765,GO-20151783770,2015-11-10 05:00:00,2015,November,10,Tuesday,314,D55,Other,064,Woodbine Corridor (64),064,Woodbine Corridor (64),-79.3118914406745,43.680374221435024
766,GO-20151939320,2015-11-10 05:00:00,2015,November,10,Tuesday,314,D41,Other,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.27297828976108,43.713796598692696
767,GO-20151947851,2015-11-13 05:00:00,2015,November,13,Friday,317,D51,Stabbing,074,North St.James Town (74),074,North St.James Town (74),-79.37376715504146,43.667288406453174
768,GO-20151950148,2015-11-13 05:00:00,2015,November,13,Friday,317,D42,Stabbing,118,Tam O'Shanter-Sullivan (118),118,Tam O'Shanter-Sullivan (118),-79.3110383728077,43.77802052627283
769,GO-20151975144,2015-11-17 05:00:00,2015,November,17,Tuesday,321,D23,Shooting,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.60407187205956,43.73183736033198
770,GO-20152071129,2015-11-28 05:00:00,2015,November,28,Saturday,332,D41,Other,121,Oakridge (121),121,Oakridge (121),-79.28539606707241,43.6970102181584
771,GO-20152050482,2015-11-30 05:00:00,2015,November,30,Monday,334,D23,Shooting,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.58210637015169,43.74325917379369
772,GO-20152125474,2015-12-11 05:00:00,2015,December,11,Friday,345,D33,Shooting,053,Henry Farm (53),053,Henry Farm (53),-79.34120695889726,43.77611361705716
773,GO-20152123328,2015-12-11 05:00:00,2015,December,11,Friday,345,D52,Stabbing,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3797119440793,43.64733018643382
